CIF,Formula,Structure Type,tcsp_center_label,tcsp_center,tcsp_prism_formula,tcsp_caps_formula,tctp_1_center,tctp_1_count,tctp_1_prism_formula,tctp_1_cap_formula,tctp_2_center,tctp_2_count,tctp_2_prism_formula,tctp_2_cap_formula,tctp_3_center,tctp_3_count,tctp_3_prism_formula,tctp_3_cap_formula
1537552.cif,Ge12InRu4Y7,"Yb7Co4InGe12,tP24,83",Ge3,Ge,Ge4Ru2Y2,Ge2Y2,Ge,2,Ge2Ru2Y2,Ge2Y,,,,,,,,
1537552.cif,Ge12InRu4Y7,"Yb7Co4InGe12,tP24,83",Ge2,Ge,Ge4Y4,Ru2GeY,Ge,1,Y6,GeInRu,,,,,,,,
1537552.cif,Ge12InRu4Y7,"Yb7Co4InGe12,tP24,83",In1,In,Y8,Ge4,Ge,4,Y6,GeInRu,,,,,,,,
1634042.cif,Al12Dy5Fe4Mg5Si6,"Mg5Dy5Fe4Al12Si6,tP32,123",Al1,Al,Dy2Fe2Mg2Si2,Al3Si,Al,1,Dy4Mg2,Al2Mg,,,,,,,,
1634042.cif,Al12Dy5Fe4Mg5Si6,"Mg5Dy5Fe4Al12Si6,tP32,123",Si2,Si,Al8,Dy2Fe2,Fe,2,Al4Si2,Mg2Si,,,,,,,,
1634042.cif,Al12Dy5Fe4Mg5Si6,"Mg5Dy5Fe4Al12Si6,tP32,123",Mg2,Mg,Dy8,Al4,Al,4,Dy4Mg2,Al2Mg,,,,,,,,
1634043.cif,Al12Fe4Gd5Mg5Si6,"Mg5Dy5Fe4Al12Si6,tP32,123",Al1,Al,Fe2Gd2Mg2Si2,Al3Si,Al,1,Gd4Mg2,Al2Mg,,,,,,,,
1634043.cif,Al12Fe4Gd5Mg5Si6,"Mg5Dy5Fe4Al12Si6,tP32,123",Si2,Si,Al8,Fe2Gd2,Fe,2,Al4Si2,Mg2Si,,,,,,,,
1634043.cif,Al12Fe4Gd5Mg5Si6,"Mg5Dy5Fe4Al12Si6,tP32,123",Mg2,Mg,Gd8,Al4,Al,4,Gd4Mg2,Al2Mg,,,,,,,,
1634044.cif,Al12Fe4Mg5Si6Y5,"Mg5Dy5Fe4Al12Si6,tP32,123",Al1,Al,Fe2Mg2Si2Y2,Al3Si,Al,1,Y4Mg2,Al2Mg,,,,,,,,
1634044.cif,Al12Fe4Mg5Si6Y5,"Mg5Dy5Fe4Al12Si6,tP32,123",Si2,Si,Al8,Fe2Y2,Fe,2,Al4Si2,Mg2Si,,,,,,,,
1634044.cif,Al12Fe4Mg5Si6Y5,"Mg5Dy5Fe4Al12Si6,tP32,123",Mg2,Mg,Y8,Al4,Al,4,Y4Mg2,Al2Mg,,,,,,,,
261386.cif,Ga2Zr3,"U3Si2,tP10,127",Zr1,Zr,Zr8,Ga4,Ga,4,Zr6,Zr2Ga,,,,,,,,
