,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
952,"SrHg8,oP72,62",1126280.cif,Hg6,yes,no,"[['', 0]]",Hg6Sr2,Hg3Sr,0,,,,,,,,,
950,"SrHg8,oP72,62",1126280.cif,Hg1,yes,no,"[['', 0]]",Hg8,Hg4,0,,,,,,,,,
985,"Zn5La2Sn,oS32,63",1636931.cif,Zn2,yes,no,"[['', 0]]",La4Zn4,Zn2LaSn,0,,,,,,,,,
984,"Zn5La2Sn,oS32,63",1636931.cif,Zn1,yes,no,"[['', 0]]",Zn6La2,La2Zn2,0,,,,,,,,,
981,"YAlGe,oS12,63",1717217.cif,Al1,yes,no,"[['', 0]]",Ge4Y4,Al2Y2,0,,,,,,,,,
665,"Ti9Se2,oP22,55",1250432.cif,Ti2,yes,no,"[['', 0]]",Ti6Se2,Ti4,0,,,,,,,,,
662,"UCoAl4,hP18,189",1005157.cif,Al2,yes,no,"[['', 0]]",Al4Co2U2,Al4,0,,,,,,,,,
661,"UCoAl4,hP18,189",1005157.cif,Al1,yes,no,"[['', 0]]",U4Al2Co2,Al4,0,,,,,,,,,
659,"SmRh5Ge3,hP108,176",1412299.cif,Rh4,yes,no,"[['', 0]]",Rh4Ge2Sm2,Ge2RhSm,0,,,,,,,,,
609,"ErNi3Ge2,hP72,174",1406536.cif,Ni7,yes,no,"[['', 0]]",Er4Ge2Ni2,Ge2Ni2,0,,,,,,,,,
658,"SmRh5Ge3,hP108,176",1412299.cif,Rh6,yes,no,"[['', 0]]",Rh4Ge2Sm2,Ge2RhSm,0,,,,,,,,,
657,"SmRh5Ge3,hP108,176",1412299.cif,Ge5,yes,no,"[['', 0]]",Rh4Ge2Sm2,Rh3Sm,0,,,,,,,,,
608,"ErNi3Ge2,hP72,174",1406536.cif,Ni3,yes,no,"[['', 0]]",Er4Ge4,Ni4,0,,,,,,,,,
607,"ErNi3Ge2,hP72,174",1406536.cif,Ni4,yes,no,"[['', 0]]",Ni4Er2Ge2,Ge2ErNi,0,,,,,,,,,
606,"ErNi3Ge2,hP72,174",1406536.cif,Ni8,yes,no,"[['', 0]]",Er4Ge2Ni2,Ge2ErNi,0,,,,,,,,,
1011,"LaNi10P4,oP60,62",1007527.cif,Ni9,yes,no,"[['', 0]]",Ni6P2,Ni2P2,0,,,,,,,,,
976,"Sr2Pd4Al5,oP44,62",1144894.cif,Al2,yes,no,"[['', 0]]",Al4Pd2Sr2,Pd2AlSr,0,,,,,,,,,
973,"CeRhSn2,oS32,63",1415892.cif,Sn1,yes,no,"[['', 0]]",Sn4Ce2Rh2,Ce2RhSn,0,,,,,,,,,
972,"U2NiC3,oP24,62",1936052.cif,C3,yes,no,"[['', 0]]",C4Ni2U2,U3Ni,0,,,,,,,,,
971,"U2NiC3,oP24,62",1936052.cif,U2,yes,no,"[['', 0]]",C6Ni2,C2NiU,0,,,,,,,,,
970,"Ta2P,oP36,58",1936333.cif,Ta3,yes,no,"[['', 0]]",Ta6P2,Ta3P,0,,,,,,,,,
969,"Ta2P,oP36,58",1936333.cif,Ta4,yes,no,"[['', 0]]",Ta8,P3Ta,0,,,,,,,,,
968,"YNiAl4,oS24,63",1407077.cif,Al3,yes,no,"[['', 0]]",Al4Y4,Al4,0,,,,,,,,,
965,"LuNiSn4,oS24,65",1804615.cif,Sn1,yes,no,"[['', 0]]",Lu6Sn2,Sn4,0,,,,,,,,,
964,"LuNiSn4,oS24,65",1804615.cif,Lu,yes,no,"[['', 0]]",Sn8,Lu2Sn2,0,,,,,,,,,
963,"ZrFe4Si2,tP14,136",1000455.cif,Fe,yes,no,"[['', 0]]",Fe4Si2Zr2,Fe2SiZr,0,,,,,,,,,
977,"Sr2Pd4Al5,oP44,62",1144894.cif,Al4,yes,no,"[['', 0]]",Sr4Al2Pd2,Pd3Sr,0,,,,,,,,,
962,"CePdAl,oP42,59",1522820.cif,Al4,yes,no,"[['', 0]]",Ce6Pd2,Al2Pd2,0,,,,,,,,,
960,"CePdAl,oP42,59",1522820.cif,Al2,yes,no,"[['', 0]]",Ce6Pd2,Pd2AlCe,0,,,,,,,,,
955,"K5Bi4,mS18,12",1110760.cif,K3,yes,no,"[['', 0]]",Bi4K4,K4,0,,,,,,,,,
954,"SrHg8,oP72,62",1126280.cif,Hg15,yes,no,"[['', 0]]",Hg6Sr2,Hg4,0,,,,,,,,,
1001,"LaCo5P3,oS36,63",1000506.cif,Co1,yes,no,"[['', 0]]",Co4P4,Co2P2,0,,,,,,,,,
998,"SrSn4,oS20,63",1003559.cif,Sn3,yes,no,"[['', 0]]",Sn4Sr4,Sn4,0,,,,,,,,,
997,"SrSn4,oS20,63",1003559.cif,Sn2,yes,no,"[['', 0]]",Sn8,Sr3Sn,0,,,,,,,,,
979,"Sr2Pd4Al5,oP44,62",1144894.cif,Pd4,yes,no,"[['', 0]]",Pd4Al2Sr2,Al2Sr2,0,,,,,,,,,
996,"SrSn4,oS20,63",1003559.cif,Sr1,yes,no,"[['', 0]]",Sn8,Sn4,0,,,,,,,,,
993,"Pr5Ni6In11,oS44,65",1803261.cif,In5,yes,no,"[['', 0]]",In4Ni4,Pr4,0,,,,,,,,,
992,"Pr5Ni6In11,oS44,65",1803261.cif,In3,yes,no,"[['', 0]]",In4Pr4,In2Ni2,0,,,,,,,,,
990,"Pr5Ni6In11,oS44,65",1803261.cif,In4,yes,no,"[['', 0]]",Ni4Pr4,In2NiPr,0,,,,,,,,,
989,"Pr5Ni6In11,oS44,65",1803261.cif,In1,yes,no,"[['', 0]]",Pr4In2Ni2,In3Pr,0,,,,,,,,,
988,"LiPr2Ge6,oS18,65",1234245.cif,Ge2,yes,no,"[['', 0]]",Pr6Ge2,Ge4,0,,,,,,,,,
987,"Ca4Ni4Ge3,oS44,63",1931091.cif,Ge2,yes,no,"[['', 0]]",Ca4Ni4,Ca3Ni,0,,,,,,,,,
978,"Sr2Pd4Al5,oP44,62",1144894.cif,Al5,yes,no,"[['', 0]]",Al4Pd2Sr2,Pd2AlSr,0,,,,,,,,,
986,"Zn5La2Sn,oS32,63",1636931.cif,Zn3,yes,no,"[['', 0]]",La4Zn4,Zn2LaSn,0,,,,,,,,,
961,"CePdAl,oP42,59",1522820.cif,Al3,yes,no,"[['', 0]]",Ce6Pd2,Al2Pd2,0,,,,,,,,,
951,"SrHg8,oP72,62",1126280.cif,Hg3,yes,no,"[['', 0]]",Hg6Sr2,Hg3Sr,0,,,,,,,,,
1012,"LaNi10P4,oP60,62",1007527.cif,Ni10,yes,no,"[['', 0]]",Ni4La2P2,Ni3P,0,,,,,,,,,
704,"Ba2Ir4In13,oS76,36",1124065.cif,In6,yes,no,"[['', 0]]",In4Ba2Ir2,In3Ba,0,,,,,,,,,
703,"Ba2Ir4In13,oS76,36",1124065.cif,In1,yes,no,"[['', 0]]",In4Ba2Ir2,In4,0,,,,,,,,,
702,"Ba2Ir4In13,oS76,36",1124065.cif,In4,yes,no,"[['', 0]]",In4Ba2Ir2,In4,0,,,,,,,,,
701,"Ba2Ir4In13,oS76,36",1124065.cif,In8,yes,no,"[['', 0]]",In4Ba2Ir2,In4,0,,,,,,,,,
786,"YRh4Ge2,oP28,62",1644283.cif,Ge2,yes,no,"[['', 0]]",Rh4Ge2Y2,Rh4,0,,,,,,,,,
1062,"SmNi4P2,oP42,58",1803097.cif,Ni6,yes,no,"[['', 0]]",Ni4P2Sm2,P2NiSm,0,,,,,,,,,
551,"U2Ru12Si7,oP84,62",1008398.cif,Si3,yes,no,"[['', 0]]",Ru4Si4,Ru4,0,,,,,,,,,
554,"Ce6Pt11In14,mS62,12",1200388.cif,In1,yes,no,"[['', 0]]",In6Pt2,Pt2CeIn,0,,,,,,,,,
1010,"LaNi10P4,oP60,62",1007527.cif,Ni8,yes,no,"[['', 0]]",Ni6P2,Ni2LaP,0,,,,,,,,,
1009,"LaNi10P4,oP60,62",1007527.cif,Ni6,yes,no,"[['', 0]]",Ni6P2,Ni2P2,0,,,,,,,,,
1008,"LaNi10P4,oP60,62",1007527.cif,Ni5,yes,no,"[['', 0]]",Ni4La2P2,Ni3P,0,,,,,,,,,
1007,"LaNi10P4,oP60,62",1007527.cif,Ni4,yes,no,"[['', 0]]",Ni6La2,Ni2P2,0,,,,,,,,,
1006,"LaNi10P4,oP60,62",1007527.cif,Ni2,yes,no,"[['', 0]]",Ni4La2P2,P2LaNi,0,,,,,,,,,
1005,"CeTe3,oS16,40",1215984.cif,Te2,yes,no,"[['', 0]]",Te6Ce2,Te4,0,,,,,,,,,
1003,"BaCu8P4,tI26,87",462486.cif,Ba,yes,no,"[['', 0]]",P8,Cu4,0,,,,,,,,,
1002,"Rh4Si5,mP18,11",1224393.cif,Si5,yes,no,"[['', 0]]",Rh4Si4,Rh2Si2,0,,,,,,,,,
799,"SmPd2In4,oP112,62",1631486.cif,In6,yes,no,"[['', 0]]",In4Pd2Sm2,Pd2InSm,0,,,,,,,,,
798,"SmPd2In4,oP112,62",1631486.cif,In5,yes,no,"[['', 0]]",In4Pd2Sm2,In2PdSm,0,,,,,,,,,
797,"SmPd2In4,oP112,62",1631486.cif,In4,yes,no,"[['', 0]]",In4Pd2Sm2,Pd2InSm,0,,,,,,,,,
796,"SmPd2In4,oP112,62",1631486.cif,In3,yes,no,"[['', 0]]",In4Pd2Sm2,In2PdSm,0,,,,,,,,,
795,"SmPd2In4,oP112,62",1631486.cif,In2,yes,no,"[['', 0]]",In4Sm4,In2Pd2,0,,,,,,,,,
793,"Eu3Ga5,oS32,38",1251360.cif,Ga4,yes,no,"[['', 0]]",Eu4Ga4,Eu2Ga2,0,,,,,,,,,
790,"YRh4Ge2,oP28,62",1644283.cif,Rh1,yes,no,"[['', 0]]",Rh4Ge2Y2,Ge2RhY,0,,,,,,,,,
789,"YRh4Ge2,oP28,62",1644283.cif,Y,yes,no,"[['', 0]]",Rh6Ge2,Rh4,0,,,,,,,,,
788,"YRh4Ge2,oP28,62",1644283.cif,Rh2,yes,no,"[['', 0]]",Rh4Ge2Y2,Rh2GeY,0,,,,,,,,,
550,"U2Ru12Si7,oP84,62",1008398.cif,Ru11,yes,no,"[['', 0]]",Ru4Si2U2,Ru2Si2,0,,,,,,,,,
787,"YRh4Ge2,oP28,62",1644283.cif,Rh3,yes,no,"[['', 0]]",Rh6Ge2,Ge2RhY,0,,,,,,,,,
785,"W3CoB3,oS28,63",540815.cif,Co,yes,no,"[['', 0]]",B4W4,W4,0,,,,,,,,,
783,"BaRh3Pb6,oS40,63",462240.cif,Pb4,yes,no,"[['', 0]]",Pb4Ba2Rh2,Pb3Rh,0,,,,,,,,,
792,"Eu3Ga5,oS32,38",1251360.cif,Ga1,yes,no,"[['', 0]]",Eu4Ga4,Eu2Ga2,0,,,,,,,,,
743,"Ca3Pd4Bi8,oP30,55",1708643.cif,Bi2,yes,no,"[['', 0]]",Ca4Bi2Pd2,Bi4,0,,,,,,,,,
705,"Ba2Ir4In13,oS76,36",1124065.cif,In11,yes,no,"[['', 0]]",In4Ba2Ir2,In2BaIr,0,,,,,,,,,
733,"Ca15Ni68Ge37,hP120,189",1633403.cif,Ni8,yes,no,"[['', 0]]",Ge4Ni4,Ni4,0,,,,,,,,,
732,"Ca15Ni68Ge37,hP120,189",1633403.cif,Ni6,yes,no,"[['', 0]]",Ca4Ge2Ni2,Ge2Ni2,0,,,,,,,,,
730,"Ca15Ni68Ge37,hP120,189",1633403.cif,Ge2,yes,no,"[['', 0]]",Ni8,Ni4,0,,,,,,,,,
729,"Ca15Ni68Ge37,hP120,189",1633403.cif,Ge1,yes,no,"[['', 0]]",Ni6Ge2,Ni2CaGe,0,,,,,,,,,
728,"Ce3Rh4Sn7,mP28,11",1650230.cif,Sn3,yes,no,"[['', 0]]",Sn4Ce2Rh2,Ce2RhSn,0,,,,,,,,,
727,"Ce3Rh4Sn7,mP28,11",1650230.cif,Sn1,yes,no,"[['', 0]]",Ce4Rh2Sn2,Rh2CeSn,0,,,,,,,,,
726,"Ce3Rh4Sn7,mP28,11",1650230.cif,Sn5,yes,no,"[['', 0]]",Sn4Ce2Rh2,Sn2CeRh,0,,,,,,,,,
722,"Lu11Te4,mS90,12",1121857.cif,Lu17,yes,no,"[['', 0]]",Lu8,Lu4,0,,,,,,,,,
714,"La2Fe25P12,oP78,55",1406880.cif,Fe8,yes,no,"[['', 0]]",Fe6P2,Fe2P2,0,,,,,,,,,
713,"La2Fe25P12,oP78,55",1406880.cif,Fe5,yes,no,"[['', 0]]",Fe4La2P2,Fe2P2,0,,,,,,,,,
712,"La2Fe25P12,oP78,55",1406880.cif,Fe4,yes,no,"[['', 0]]",Fe4La2P2,Fe2P2,0,,,,,,,,,
711,"La2Fe25P12,oP78,55",1406880.cif,Fe2,yes,no,"[['', 0]]",Fe4La2P2,Fe2P2,0,,,,,,,,,
697,"Ba2Ir4In13,oS76,36",1124065.cif,In13,yes,no,"[['', 0]]",In4Ba2Ir2,In2BaIr,0,,,,,,,,,
698,"Ba2Ir4In13,oS76,36",1124065.cif,In10,yes,no,"[['', 0]]",In4Ba2Ir2,In4,0,,,,,,,,,
699,"Ba2Ir4In13,oS76,36",1124065.cif,In9,yes,no,"[['', 0]]",In4Ir4,In3Ba,0,,,,,,,,,
700,"Ba2Ir4In13,oS76,36",1124065.cif,In7,yes,no,"[['', 0]]",In4Ba2Ir2,In4,0,,,,,,,,,
596,"Ce2Rh3Pb4Bi,oS40,36",1623885.cif,Bi2,yes,no,"[['', 0]]",Bi4Ce2Rh2,Bi2CeRh,0,,,,,,,,,
594,"Ce2Rh3Pb4Bi,oS40,36",1623885.cif,Rh3,yes,no,"[['', 0]]",Bi4Ce2Rh2,Bi2Ce2,0,,,,,,,,,
592,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg9,yes,no,"[['', 0]]",Y4Cu2Mg2,Mg4,0,,,,,,,,,
586,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg3,yes,no,"[['', 0]]",Mg4Cu2Y2,Mg2Y2,0,,,,,,,,,
585,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg2,yes,no,"[['', 0]]",Mg8,Mg3Y,0,,,,,,,,,
582,"Ce5Co4Ge13,oS44,65",1144296.cif,Ce3,yes,no,"[['', 0]]",Ge8,Ge4,0,,,,,,,,,
805,"SmPd2In4,oP112,62",1631486.cif,In15,yes,no,"[['', 0]]",In4Pd2Sm2,Pd2InSm,0,,,,,,,,,
801,"SmPd2In4,oP112,62",1631486.cif,In9,yes,no,"[['', 0]]",In4Pd2Sm2,In2PdSm,0,,,,,,,,,
800,"SmPd2In4,oP112,62",1631486.cif,In8,yes,no,"[['', 0]]",In4Pd2Sm2,In2PdSm,0,,,,,,,,,
696,"Ba2Ir4In13,oS76,36",1124065.cif,In12,yes,no,"[['', 0]]",In6Ba2,Ir3Ba,0,,,,,,,,,
692,"KCuCeTe4,oP14,18",1623480.cif,Cu,yes,no,"[['', 0]]",Cu4K2Te2,K2Te2,0,,,,,,,,,
691,"KCuCeTe4,oP14,18",1623480.cif,K,yes,no,"[['', 0]]",Te6Cu2,Cu2Te2,0,,,,,,,,,
675,"Eu10Ni21As15.5,hP92,176",1928382.cif,Ni2,yes,no,"[['', 0]]",Ni4As2Eu2,As2Eu2,0,,,,,,,,,
710,"La2Fe25P12,oP78,55",1406880.cif,Fe1,yes,no,"[['', 0]]",Fe6P2,Fe3P,0,,,,,,,,,
736,"Ca15Ni68Ge37,hP120,189",1633403.cif,Ge6,yes,no,"[['', 0]]",Ni8,Ni4,0,,,,,,,,,
735,"Ca15Ni68Ge37,hP120,189",1633403.cif,Ge5,yes,no,"[['', 0]]",Ca4Ge2Ni2,Ni4,0,,,,,,,,,
581,"Ce5Co4Ge13,oS44,65",1144296.cif,Ge7,yes,no,"[['', 0]]",Ce4Ge4,Ge4,0,,,,,,,,,
584,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg1,yes,no,"[['', 0]]",Mg6Cu2,Mg2Y2,0,,,,,,,,,
549,"U2Ru12Si7,oP84,62",1008398.cif,Ru10,yes,no,"[['', 0]]",Ru4Si4,Ru2Si2,0,,,,,,,,,
548,"U2Ru12Si7,oP84,62",1008398.cif,Si2,yes,no,"[['', 0]]",Ru4Si2U2,Ru4,0,,,,,,,,,
547,"U2Ru12Si7,oP84,62",1008398.cif,Ru5,yes,no,"[['', 0]]",Ru4Si2U2,Ru3Si,0,,,,,,,,,
546,"U2Ru12Si7,oP84,62",1008398.cif,Ru7,yes,no,"[['', 0]]",Ru4Si2U2,Si2RuU,0,,,,,,,,,
545,"U2Ru12Si7,oP84,62",1008398.cif,Ru2,yes,no,"[['', 0]]",Ru4Si2U2,Ru3Si,0,,,,,,,,,
543,"Ca2Ni3Ge2,oP14,51",1931109.cif,Ca2,yes,no,"[['', 0]]",Ge4Ni4,Ge2Ni2,0,,,,,,,,,
542,"Ca2Ni3Ge2,oP14,51",1931109.cif,Ge2,yes,no,"[['', 0]]",Ca4Ni4,Ca2Ni2,0,,,,,,,,,
556,"Mo2Ni6P3,oP22,59",1614038.cif,Ni1,yes,no,"[['', 0]]",Ni4Mo2P2,Mo2Ni2,0,,,,,,,,,
605,"ErNi3Ge2,hP72,174",1406536.cif,Ni2,yes,no,"[['', 0]]",Er4Ge4,Ni4,0,,,,,,,,,
604,"ErNi3Ge2,hP72,174",1406536.cif,Ni12,yes,no,"[['', 0]]",Er4Ge2Ni2,Ge2Ni2,0,,,,,,,,,
601,"ErNi3Ge2,hP72,174",1406536.cif,Ge2,yes,no,"[['', 0]]",Ni4Er2Ge2,Ni3Er,0,,,,,,,,,
600,"ErNi3Ge2,hP72,174",1406536.cif,Ni10,yes,no,"[['', 0]]",Ni4Er2Ge2,Ge2ErNi,0,,,,,,,,,
598,"Ce2Rh3Pb4Bi,oS40,36",1623885.cif,Bi4,yes,no,"[['', 0]]",Ce4Bi2Rh2,Rh2BiCe,0,,,,,,,,,
597,"Ce2Rh3Pb4Bi,oS40,36",1623885.cif,Rh1,yes,no,"[['', 0]]",Ce4Bi2Rh2,Bi3Ce,0,,,,,,,,,
764,"Ce2Ru2In3,oP28,62",1216500.cif,Ru1,yes,no,"[['', 0]]",Ce4In2Ru2,Ce2In2,0,,,,,,,,,
762,"Ce3Pt4Al6,oP52,62",1627178.cif,Al5,yes,no,"[['', 0]]",Al4Ce2Pt2,Ce2Pt2,0,,,,,,,,,
760,"Ce3Pt4Al6,oP52,62",1627178.cif,Pt2,yes,no,"[['', 0]]",Ce4Al2Pt2,Al3Ce,0,,,,,,,,,
757,"Ce3Pt4Al6,oP52,62",1627178.cif,Al1,yes,no,"[['', 0]]",Al4Ce2Pt2,Ce2Pt2,0,,,,,,,,,
756,"Ce3Ni7As5,oP30,59",1412822.cif,Ce1,yes,no,"[['', 0]]",As4Ni4,As2Ni2,0,,,,,,,,,
755,"Ce3Ni7As5,oP30,59",1412822.cif,Ni2,yes,no,"[['', 0]]",Ni4As2Ce2,As2Ce2,0,,,,,,,,,
754,"Ce3Ni7As5,oP30,59",1412822.cif,Ni4,yes,no,"[['', 0]]",As4Ce2Ni2,Ce2Ni2,0,,,,,,,,,
753,"Ce3Ni7As5,oP30,59",1412822.cif,Ni3,yes,no,"[['', 0]]",Ce4As2Ni2,As2CeNi,0,,,,,,,,,
751,"Ce3Ni7As5,oP30,59",1412822.cif,Ni1,yes,no,"[['', 0]]",Ni4As2Ce2,As2Ce2,0,,,,,,,,,
749,"U6Co30Si19,hP110,176",1406973.cif,Co9,yes,no,"[['', 0]]",Co4Si2U2,Co2Si2,0,,,,,,,,,
747,"U6Co30Si19,hP110,176",1406973.cif,Co5,yes,no,"[['', 0]]",Co4Si2U2,Si2CoU,0,,,,,,,,,
775,"Ce3Rh4Ge4,oP44,62",1535394.cif,Ge1,yes,no,"[['', 0]]",Ce4Ge2Rh2,Rh3Ce,0,,,,,,,,,
777,"UCr6P4,oP22,59",1803442.cif,Cr(1),yes,no,"[['', 0]]",Cr4P2U2,Cr2P2,0,,,,,,,,,
807,"Eu3Pd4As4,oP11,47",1707996.cif,Pd1,yes,no,"[['', 0]]",As4Pd4,Eu4,0,,,,,,,,,
580,"Ce5Co4Ge13,oS44,65",1144296.cif,Ge6,yes,no,"[['', 0]]",Ge6Ce2,Ce2Co2,0,,,,,,,,,
806,"SmPd2In4,oP112,62",1631486.cif,In16,yes,no,"[['', 0]]",In4Pd4,In2Sm2,0,,,,,,,,,
194,"Pr3Pt4Ge6,oP52,62",1711643.cif,Ge4,yes,no,"[['', 0]]",Ge4Pr2Pt2,Pr2Pt2,0,,,,,,,,,
193,"Pr3Pt4Ge6,oP52,62",1711643.cif,Ge5,yes,no,"[['', 0]]",Ge4Pr2Pt2,Pr2GePt,0,,,,,,,,,
192,"Pr3Pt4Ge6,oP52,62",1711643.cif,Ge6,yes,no,"[['', 0]]",Ge4Pr2Pt2,Pr2GePt,0,,,,,,,,,
189,"Pr3Pt4Ge6,oP52,62",1711643.cif,Ge2,yes,no,"[['', 0]]",Ge4Pr4,Pt3Pr,0,,,,,,,,,
188,"Pr3Pt4Ge6,oP52,62",1711643.cif,Ge3,yes,no,"[['', 0]]",Ge4Pr2Pt2,Pr2Pt2,0,,,,,,,,,
187,"K6ZnBi5,oP24,59",1638689.cif,K1,yes,no,"[['', 0]]",Bi4K2Zn2,K3Bi,0,,,,,,,,,
184,"Pr7Co6Al7,tP40,127",1803328.cif,Al2,yes,no,"[['', 0]]",Co4Pr4,Al2CoPr,0,,,,,,,,,
135,"TbGe2,oS24,65",1007801.cif,Ge5,yes,no,"[['', 0]]",Ge8,Tb4,0,,,,,,,,,
60,"K2SrCdSb2,oP12,26",1603965.cif,K2,yes,no,"[['', 0]]",K4Cd2Sb2,Sb2Sr2,0,,,,,,,,,
1049,"Ag2Se,oP12,62",1235756.cif,Se,yes,no,"[['', 0]]",Ag6Se2,Ag4,0,,,,,,,,,
1013,"UPt2,oS12,63",1251731.cif,Pt2,yes,no,"[['', 0]]",Pt4U4,Pt2U2,0,,,,,,,,,
578,"Ce5Co4Ge13,oS44,65",1144296.cif,Ce1,yes,no,"[['', 0]]",Ge8,Ge4,0,,,,,,,,,
577,"Ce5Co4Ge13,oS44,65",1144296.cif,Ge2,yes,no,"[['', 0]]",Ge6Ce2,Ce2Co2,0,,,,,,,,,
576,"Ce5Co4Ge13,oS44,65",1144296.cif,Ge1,yes,no,"[['', 0]]",Ge4Ce2Co2,Ce2Ge2,0,,,,,,,,,
772,"Ce3Rh4Ge4,oP44,62",1535394.cif,Ge3,yes,no,"[['', 0]]",Ce4Ge2Rh2,Rh3Ce,0,,,,,,,,,
766,"Ce2Ru2In3,oP28,62",1216500.cif,In2,yes,no,"[['', 0]]",Ce4In2Ru2,In2CeRu,0,,,,,,,,,
175,"Y2Rh3Sn5,oS40,36",1902867.cif,Rh1,yes,no,"[['', 0]]",Y4Rh2Sn2,Sn3Y,0,,,,,,,,,
176,"Y2Rh3Sn5,oS40,36",1902867.cif,Sn4,yes,no,"[['', 0]]",Y4Rh2Sn2,Rh2SnY,0,,,,,,,,,
183,"Pr7Co6Al7,tP40,127",1803328.cif,Al1,yes,no,"[['', 0]]",Pr6Co2,Al3Pr,0,,,,,,,,,
154,"UCo5Si3,hP54,176",1407063.cif,Si2,yes,no,"[['', 0]]",Co4Si2U2,Co4,0,,,,,,,,,
153,"UCo5Si3,hP54,176",1407063.cif,Co5,yes,no,"[['', 0]]",Co6Si2,Co2SiU,0,,,,,,,,,
152,"UCo5Si3,hP54,176",1407063.cif,Co3,yes,no,"[['', 0]]",Co4Si2U2,Si2CoU,0,,,,,,,,,
150,"Y2Al3Si2,mS14,12",1406368.cif,Al1,yes,no,"[['', 0]]",Al4Si2Y2,Y3Al,0,,,,,,,,,
149,"Mn5Rh6Bi18,tP58,136",1962885.cif,Mn2,yes,no,"[['', 0]]",Rh4Bi2Mn2,Bi4,0,,,,,,,,,
147,"Mn5Rh6Bi18,tP58,136",1962885.cif,Bi4,yes,no,"[['', 0]]",Bi4Mn2Rh2,Bi3Mn,0,,,,,,,,,
146,"Mn5Rh6Bi18,tP58,136",1962885.cif,Bi3,yes,no,"[['', 0]]",Bi6Rh2,Bi3Mn,0,,,,,,,,,
145,"GdSn2.75,oS16,38",1250990.cif,Sn4,yes,no,"[['', 0]]",Sn6Gd2,Gd2Sn2,0,,,,,,,,,
144,"GdSn2.75,oS16,38",1250990.cif,Sn2,yes,no,"[['', 0]]",Gd4Sn4,Sn4,0,,,,,,,,,
919,"Li7CuSi2,oP40,62",1719635.cif,Cu1,yes,no,"[['', 0]]",Li8,Li2Si2,0,,,,,,,,,
143,"GdSn2.75,oS16,38",1250990.cif,Gd1,yes,no,"[['', 0]]",Sn8,Sn4,0,,,,,,,,,
200,"Mg5Si6,mS22,8",1123564.cif,Si3,yes,no,"[['', 0]]",Mg4Si4,Mg2Si2,0,,,,,,,,,
198,"Li6Eu5Sn9,oS80,63",1121837.cif,Sn2,yes,no,"[['', 0]]",Li6Eu2,Sn2EuLi,0,,,,,,,,,
541,"Ca2Ni3Ge2,oP14,51",1931109.cif,Ni1,yes,no,"[['', 0]]",Ni4Ca2Ge2,Ca2Ge2,0,,,,,,,,,
905,"Mg8Cu5Y5,oP36,51",1629332.cif,Mg1,yes,no,"[['', 0]]",Mg6Cu2,Y3Mg,0,,,,,,,,,
901,"Ce3Co3Al4,oP40,62",538470.cif,Al1,yes,no,"[['', 0]]",Ce6Co2,Al2CeCo,0,,,,,,,,,
900,"Ce3Co3Al4,oP40,62",538470.cif,Al4,yes,no,"[['', 0]]",Ce4Al2Co2,Co2AlCe,0,,,,,,,,,
899,"Ce3Co3Al4,oP40,62",538470.cif,Al3,yes,no,"[['', 0]]",Ce4Al2Co2,Al2CeCo,0,,,,,,,,,
898,"Sc4Pt7Si2,oP26,55",1931034.cif,Pt3,yes,no,"[['', 0]]",Pt4Sc4,Pt4,0,,,,,,,,,
895,"Sc4Pt7Si2,oP26,55",1931034.cif,Sc1,yes,no,"[['', 0]]",Pt8,Pt2Sc2,0,,,,,,,,,
894,"Sc4Pt7Si2,oP26,55",1931034.cif,Pt1,yes,no,"[['', 0]]",Pt6Si2,Sc4,0,,,,,,,,,
892,"Ca6Cu2Sn7,mS30,12",1420141.cif,Ca2,yes,no,"[['', 0]]",Sn6Cu2,Ca2Sn2,0,,,,,,,,,
942,"Ca2CdAs2,mS50,8",1632495.cif,Cd2,yes,no,"[['', 0]]",Ca6As2,As3Ca,0,,,,,,,,,
941,"Ca2CdAs2,mS50,8",1632495.cif,Cd1,yes,no,"[['', 0]]",Ca4As2Cd2,As2Ca2,0,,,,,,,,,
929,"Yb5Fe4Al17Si6,tP32,123",1636744.cif,Yb2,yes,no,"[['', 0]]",Si8,Al4,0,,,,,,,,,
926,"Yb5Fe4Al17Si6,tP32,123",1636744.cif,Si1,yes,no,"[['', 0]]",Al4Fe2Yb2,Al2Si2,0,,,,,,,,,
924,"Ca3Ni3Si2,oP32,62",1708675.cif,Ni3,yes,no,"[['', 0]]",Ni4Ca2Si2,Ca2Si2,0,,,,,,,,,
923,"Ca3Ni3Si2,oP32,62",1708675.cif,Ca3,yes,no,"[['', 0]]",Si4Ca2Ni2,Ni4,0,,,,,,,,,
174,"Y2Rh3Sn5,oS40,36",1902867.cif,Sn5,yes,no,"[['', 0]]",Sn4Rh2Y2,Sn2RhY,0,,,,,,,,,
269,"NdNiGa2,oS16,65",1602821.cif,Ga3,yes,no,"[['', 0]]",Ga4Nd4,Ni4,0,,,,,,,,,
